Module	Section	Sample Name	Source
Picard	DuplicationMetrics	D200proB_S11	/ibex/scratch/alghurmf/bulkAtac/D200proB_S11/04bam/D200proB_S11.markdup.txt
Picard	DuplicationMetrics	D201proB_S23	/ibex/scratch/alghurmf/bulkAtac/D201proB_S23/04bam/D201proB_S23.markdup.txt
Picard	DuplicationMetrics	D202proB_S35	/ibex/scratch/alghurmf/bulkAtac/D202proB_S35/04bam/D202proB_S35.markdup.txt
Picard	DuplicationMetrics	D2206-3_S13	/ibex/scratch/alghurmf/bulkAtac/D2206proB-3_S13/04bam/D2206-3_S13.markdup.txt
Picard	DuplicationMetrics	proB_ATAC_D210_S21	/ibex/scratch/alghurmf/bulkAtac/proB_ATAC_D210_S21/04bam/proB_ATAC_D210_S21.markdup.txt
Picard	DuplicationMetrics	proB_ATAC_D211_S51	/ibex/scratch/alghurmf/bulkAtac/proB_ATAC_D211_S51/04bam/proB_ATAC_D211_S51.markdup.txt
Picard	DuplicationMetrics	proB_ATAC_D212_S39	/ibex/scratch/alghurmf/bulkAtac/proB_ATAC_D212_S39/04bam/proB_ATAC_D212_S39.markdup.txt
Picard	DuplicationMetrics	proB_ATAC_D213_S27	/ibex/scratch/alghurmf/bulkAtac/proB_ATAC_D213_S27/04bam/proB_ATAC_D213_S27.markdup.txt
Picard	DuplicationMetrics	proB_ATAC_D214_S15	/ibex/scratch/alghurmf/bulkAtac/proB_ATAC_D214_S15/04bam/proB_ATAC_D214_S15.markdup.txt
Picard	DuplicationMetrics	proB_ATAC_D215_S3	/ibex/scratch/alghurmf/bulkAtac/proB_ATAC_D215_S3/04bam/proB_ATAC_D215_S3.markdup.txt
Samtools	flagstat	D200proB_S11	/ibex/scratch/alghurmf/bulkAtac/D200proB_S11/04bam/D200proB_S11.flagstat.markdup.txt
Samtools	flagstat	D201proB_S23	/ibex/scratch/alghurmf/bulkAtac/D201proB_S23/04bam/D201proB_S23.clean.flagstat.txt
Samtools	flagstat	D202proB_S35	/ibex/scratch/alghurmf/bulkAtac/D202proB_S35/04bam/D202proB_S35.flagstat.markdup.txt
Samtools	flagstat	D2206-3_S13	/ibex/scratch/alghurmf/bulkAtac/D2206proB-3_S13/04bam/D2206-3_S13.flagstat.markdup.txt
Samtools	flagstat	proB_ATAC_D210_S21	/ibex/scratch/alghurmf/bulkAtac/proB_ATAC_D210_S21/04bam/proB_ATAC_D210_S21.flagstat.markdup.txt
