Module	Section	Sample Name	Source
Picard	DuplicationMetrics	D200inmature_S13	/ibex/scratch/alghurmf/bulkAtac/D200ImmatureB_S13/04bam/D200inmature_S13.markdup.txt
Picard	DuplicationMetrics	D202inmature_S37	/ibex/scratch/alghurmf/bulkAtac/D202ImmatureB_S37/04bam/D202inmature_S37.markdup.txt
Picard	DuplicationMetrics	D2206-5_S15	/ibex/scratch/alghurmf/bulkAtac/D2206-5ImmatureB_S15/04bam/D2206-5_S15.markdup.txt
Picard	DuplicationMetrics	ImmatureB_ATAC_D210_S12	/ibex/scratch/alghurmf/bulkAtac/ImmatureB_ATAC_D210_S12/04bam/ImmatureB_ATAC_D210_S12.markdup.txt
Picard	DuplicationMetrics	ImmatureB_ATAC_D211_S53	/ibex/scratch/alghurmf/bulkAtac/ImmatureB_ATAC_D211_S53/04bam/ImmatureB_ATAC_D211_S53.markdup.txt
Picard	DuplicationMetrics	ImmatureB_ATAC_D212_S41	/ibex/scratch/alghurmf/bulkAtac/ImmatureB_ATAC_D212_S41/04bam/ImmatureB_ATAC_D212_S41.markdup.txt
Picard	DuplicationMetrics	ImmatureB_ATAC_D213_S29	/ibex/scratch/alghurmf/bulkAtac/ImmatureB_ATAC_D213_S29/04bam/ImmatureB_ATAC_D213_S29.markdup.txt
Picard	DuplicationMetrics	ImmatureB_ATAC_D214_S17	/ibex/scratch/alghurmf/bulkAtac/ImmatureB_ATAC_D214_S17/04bam/ImmatureB_ATAC_D214_S17.markdup.txt
Samtools	flagstat	D200inmature_S13	/ibex/scratch/alghurmf/bulkAtac/D200ImmatureB_S13/04bam/D200inmature_S13.clean.flagstat.txt
Samtools	flagstat	D202inmature_S37	/ibex/scratch/alghurmf/bulkAtac/D202ImmatureB_S37/04bam/D202inmature_S37.flagstat.markdup.txt
Samtools	flagstat	D2206-5_S15	/ibex/scratch/alghurmf/bulkAtac/D2206-5ImmatureB_S15/04bam/D2206-5_S15.flagstat.markdup.txt
Samtools	flagstat	ImmatureB_ATAC_D210_S12	/ibex/scratch/alghurmf/bulkAtac/ImmatureB_ATAC_D210_S12/04bam/ImmatureB_ATAC_D210_S12.flagstat.markdup.txt
Samtools	flagstat	ImmatureB_ATAC_D211_S53	/ibex/scratch/alghurmf/bulkAtac/ImmatureB_ATAC_D211_S53/04bam/ImmatureB_ATAC_D211_S53.clean.flagstat.txt
Samtools	flagstat	ImmatureB_ATAC_D212_S41	/ibex/scratch/alghurmf/bulkAtac/ImmatureB_ATAC_D212_S41/04bam/ImmatureB_ATAC_D212_S41.clean.flagstat.txt
Samtools	flagstat	ImmatureB_ATAC_D213_S29	/ibex/scratch/alghurmf/bulkAtac/ImmatureB_ATAC_D213_S29/04bam/ImmatureB_ATAC_D213_S29.clean.flagstat.txt
Samtools	flagstat	ImmatureB_ATAC_D214_S17	/ibex/scratch/alghurmf/bulkAtac/ImmatureB_ATAC_D214_S17/04bam/ImmatureB_ATAC_D214_S17.flagstat.markdup.txt
Bowtie 2 / HiSAT2	all_sections	D200inmature_S13_bulkATAC.err	/ibex/scratch/alghurmf/bulkAtac/D200ImmatureB_S13/00script/D200inmature_S13_bulkATAC.err
Bowtie 2 / HiSAT2	all_sections	D202inmature_S37_bulkATAC.err	/ibex/scratch/alghurmf/bulkAtac/D202ImmatureB_S37/00script/D202inmature_S37_bulkATAC.err
Bowtie 2 / HiSAT2	all_sections	D2206-5_S15_bulkATAC.err	/ibex/scratch/alghurmf/bulkAtac/D2206-5ImmatureB_S15/00script/D2206-5_S15_bulkATAC.err
Bowtie 2 / HiSAT2	all_sections	ImmatureB_ATAC_D210_S12_bulkATAC.err	/ibex/scratch/alghurmf/bulkAtac/ImmatureB_ATAC_D210_S12/00script/ImmatureB_ATAC_D210_S12_bulkATAC.err
Bowtie 2 / HiSAT2	all_sections	ImmatureB_ATAC_D211_S53_bulkATAC.err	/ibex/scratch/alghurmf/bulkAtac/ImmatureB_ATAC_D211_S53/00script/ImmatureB_ATAC_D211_S53_bulkATAC.err
Bowtie 2 / HiSAT2	all_sections	ImmatureB_ATAC_D212_S41_bulkATAC.err	/ibex/scratch/alghurmf/bulkAtac/ImmatureB_ATAC_D212_S41/00script/ImmatureB_ATAC_D212_S41_bulkATAC.err
Bowtie 2 / HiSAT2	all_sections	ImmatureB_ATAC_D213_S29_bulkATAC.err	/ibex/scratch/alghurmf/bulkAtac/ImmatureB_ATAC_D213_S29/00script/ImmatureB_ATAC_D213_S29_bulkATAC.err
Bowtie 2 / HiSAT2	all_sections	ImmatureB_ATAC_D214_S17_bulkATAC.err	/ibex/scratch/alghurmf/bulkAtac/ImmatureB_ATAC_D214_S17/00script/ImmatureB_ATAC_D214_S17_bulkATAC.err
FastQC	all_sections	D200inmature_S13_R2_001	/ibex/scratch/alghurmf/bulkAtac/D200ImmatureB_S13/01fastqc/D200inmature_S13_R2_001_fastqc.zip
FastQC	all_sections	D200inmature_S13_R1_001	/ibex/scratch/alghurmf/bulkAtac/D200ImmatureB_S13/01fastqc/D200inmature_S13_R1_001_fastqc.zip
FastQC	all_sections	D200inmature_S13_trim1	/ibex/scratch/alghurmf/bulkAtac/D200ImmatureB_S13/03trimmed_fastqc/D200inmature_S13_trim1_fastqc.zip
FastQC	all_sections	D200inmature_S13_trim2	/ibex/scratch/alghurmf/bulkAtac/D200ImmatureB_S13/03trimmed_fastqc/D200inmature_S13_trim2_fastqc.zip
FastQC	all_sections	D202inmature_S37_trim2	/ibex/scratch/alghurmf/bulkAtac/D202ImmatureB_S37/03trimmed_fastqc/D202inmature_S37_trim2_fastqc.zip
FastQC	all_sections	D202inmature_S37_trim1	/ibex/scratch/alghurmf/bulkAtac/D202ImmatureB_S37/03trimmed_fastqc/D202inmature_S37_trim1_fastqc.zip
FastQC	all_sections	D202inmature_S37_R1_001	/ibex/scratch/alghurmf/bulkAtac/D202ImmatureB_S37/01fastqc/D202inmature_S37_R1_001_fastqc.zip
FastQC	all_sections	D202inmature_S37_R2_001	/ibex/scratch/alghurmf/bulkAtac/D202ImmatureB_S37/01fastqc/D202inmature_S37_R2_001_fastqc.zip
FastQC	all_sections	D2206-5_S15_trim2	/ibex/scratch/alghurmf/bulkAtac/D2206-5ImmatureB_S15/03trimmed_fastqc/D2206-5_S15_trim2_fastqc.zip
FastQC	all_sections	D2206-5_S15_trim1	/ibex/scratch/alghurmf/bulkAtac/D2206-5ImmatureB_S15/03trimmed_fastqc/D2206-5_S15_trim1_fastqc.zip
FastQC	all_sections	D2206-5_S15_R1_001	/ibex/scratch/alghurmf/bulkAtac/D2206-5ImmatureB_S15/01fastqc/D2206-5_S15_R1_001_fastqc.zip
